gene_id	gene_name	ctenidia	gonad	heart	juvenile	larvae
PGEN_.00g000010	PGEN_.00g000010	0	0	0	4.851851	3.423667
PGEN_.00g000020	PGEN_.00g000020	0	0	0	0.840164	0.370266
PGEN_.00g000030	PGEN_.00g000030	0.225494	0	0	0.069598	0.052545
PGEN_.00g000040	PGEN_.00g000040	0.565506	0	0.254843	0.376364	1.131114
PGEN_.00g000050	PGEN_.00g000050	0.508251	4.745168	0.228272	0.182728	1.117655
PGEN_.00g000060	PGEN_.00g000060	6.490179	0	0	6.742646	5.936612
PGEN_.00g000070	PGEN_.00g000070	0	0	0	0.025013	1.103535
PGEN_.00g000080	PGEN_.00g000080	0	0	0.119488	0.22957	0
PGEN_.00g000090	PGEN_.00g000090	0.187374	0	0	0.173312	0
PGEN_.00g000100	PGEN_.00g000100	0	0	0	0.304322	0
PGEN_.00g000110	PGEN_.00g000110	0.609582	0	0.136321	0.376723	0.365449
PGEN_.00g000120	PGEN_.00g000120	0	0	0	0.096967	0
PGEN_.00g000130	PGEN_.00g000130	0.365839	0	0	0	0
PGEN_.00g000140	PGEN_.00g000140	0	0	0	0.164727	0.091647
PGEN_.00g000150	PGEN_.00g000150	0.244026	0	0	0	0
PGEN_.00g000160	PGEN_.00g000160	0	0	0	0	0
PGEN_.00g000170	PGEN_.00g000170	0	0	0	0	0
PGEN_.00g000180	PGEN_.00g000180	0	0	0	0	0
PGEN_.00g000190	PGEN_.00g000190	19.565513	0	0	3.412019	10.15069
PGEN_.00g000200	PGEN_.00g000200	3.271561	0	1.743053	1.828961	0
PGEN_.00g000210	PGEN_.00g000210	2.810603	0	2.775616	3.495122	0.898959
PGEN_.00g000220	PGEN_.00g000220	0	0	0	0	0
PGEN_.00g000230	PGEN_.00g000230	0	0	0	4.740403	8.222569
PGEN_.00g000240	PGEN_.00g000240	7.733169	9.301564	11.684074	6.018691	6.567764
PGEN_.00g000250	PGEN_.00g000250	0	0	3.04582	2.031205	6.150974
PGEN_.00g000260	PGEN_.00g000260	0	0	0	0	0
PGEN_.00g000270	PGEN_.00g000270	3.349441	3.489466	1.235238	0.166381	0.329836
PGEN_.00g000280	PGEN_.00g000280	6.225671	3.660309	4.927218	2.839903	1.478848
PGEN_.00g000290	PGEN_.00g000290	0.987201	0	0	0.228242	0
PGEN_.00g000300	PGEN_.00g000300	4.091597	2.739254	3.785783	5.05362	1.087948
PGEN_.00g000310	PGEN_.00g000310	7.182528	3.09213	1.509325	0.021204	0
PGEN_.00g000320	PGEN_.00g000320	1.698014	0.720978	1.24145	0.181992	0.219316
PGEN_.00g000330	PGEN_.00g000330	36.272786	25.057426	22.17827	2.381858	8.116835
PGEN_.00g000340	PGEN_.00g000340	9.49866	7.807085	7.529625	0.430522	0.556815
PGEN_.00g000350	PGEN_.00g000350	3.154028	0	0.756138	0	1.260468
PGEN_.00g000360	PGEN_.00g000360	0	0	0	0	0
PGEN_.00g000370	PGEN_.00g000370	0	0	0	0.07482	0
PGEN_.00g000380	PGEN_.00g000380	0.47506	0	0	0.315384	0
PGEN_.00g000390	PGEN_.00g000390	0	0	0	0	0
PGEN_.00g000400	PGEN_.00g000400	3.568172	10.552089	6.970567	2.810417	0
PGEN_.00g000410	PGEN_.00g000410	5.025167	3.580361	2.036121	1.054706	5.634773
PGEN_.00g000420	PGEN_.00g000420	0	1.74315	0	0.105986	0
PGEN_.00g000430	PGEN_.00g000430	0	0	0	0	0
PGEN_.00g000440	PGEN_.00g000440	11.483098	5.728598	3.123012	6.873106	10.243535
PGEN_.00g000450	PGEN_.00g000450	3.060093	2.235838	3.137498	3.743215	5.568392
PGEN_.00g000460	PGEN_.00g000460	16.379871	13.352665	12.438876	6.907879	6.559127
PGEN_.00g000470	PGEN_.00g000470	0	0	0	0	0
PGEN_.00g000480	PGEN_.00g000480	0	0	0	0	0
PGEN_.00g000490	PGEN_.00g000490	0.167451	16.238926	0.166169	17.205725	37.425803
PGEN_.00g000500	PGEN_.00g000500	0	0	0	0	0
PGEN_.00g000510	PGEN_.00g000510	20.184042	14.26451	2.939143	12.845281	17.647659
PGEN_.00g000520	PGEN_.00g000520	55.045472	95.81911	50.037952	36.602583	37.628958
PGEN_.00g000530	PGEN_.00g000530	2515.103897	3318.249277	1938.456274	2688.94469	1796.795192
PGEN_.00g000540	PGEN_.00g000540	4.348889	9.300203	2.826109	4.310992	5.071449
PGEN_.00g000550	PGEN_.00g000550	0.409398	0	0	0	0
PGEN_.00g000560	PGEN_.00g000560	1.917285	0	0.537045	3.514991	6.467187
PGEN_.00g000570	PGEN_.00g000570	0	0	0	0.947689	0.981603
PGEN_.00g000580	PGEN_.00g000580	0.055928	7.852801	0.201675	2.001	16.310902
PGEN_.00g000590	PGEN_.00g000590	0	0	0	0.2197	3.955629
PGEN_.00g000600	PGEN_.00g000600	57.138522	122.490125	71.121071	89.957758	149.108873
PGEN_.00g000610	PGEN_.00g000610	0	0	0	0	0
PGEN_.00g000620	PGEN_.00g000620	0	0	0	0	0
PGEN_.00g000630	PGEN_.00g000630	0	0	0	0.040251	0
PGEN_.00g000640	PGEN_.00g000640	0	0	0	0	0
PGEN_.00g000650	PGEN_.00g000650	0	0	0.401517	0	0
PGEN_.00g000660	PGEN_.00g000660	77.472278	41.102447	37.03295	82.22402	82.217931
PGEN_.00g000670	PGEN_.00g000670	144.986885	18.914815	0.658346	114.166447	208.082053
PGEN_.00g000680	PGEN_.00g000680	5.192162	10.26665	10.102473	6.427639	5.577085
PGEN_.00g000690	PGEN_.00g000690	0	2.17303	0.127109	0.587673	5.935983
PGEN_.00g000700	PGEN_.00g000700	0	0	0	0	0
